identifier,address,chain,name,symbol,decimals,coingecko,cryptocompare,started,protocol
eip155:56/erc20:0x6e9730EcFfBed43fD876A264C982e254ef05a0DE,0x6e9730EcFfBed43fD876A264C982e254ef05a0DE,56,Nord Token,NORD,18,nord-finance,NORD,1615436632,
eip155:56/erc20:0xA2120b9e674d3fC3875f415A7DF52e382F141225,0xA2120b9e674d3fC3875f415A7DF52e382F141225,56,Automata,ATA,18,automata,ATA,1622409182,
eip155:56/erc20:0x25A528af62e56512A19ce8c3cAB427807c28CC19,0x25A528af62e56512A19ce8c3cAB427807c28CC19,56,Formation Finance,FORM,18,formation-fi,FORM,1623753777,
eip155:56/erc20:0x3b79a28264fC52c7b4CEA90558AA0B162f7Faf57,0x3b79a28264fC52c7b4CEA90558AA0B162f7Faf57,56,Public Index Network,PIN,18,public-index-network,PIN,1624596745,
eip155:56/erc20:0xd4fBc57B6233F268E7FbA3b66E62719D74deecBc,0xd4fBc57B6233F268E7FbA3b66E62719D74deecBc,56,Modefi,MOD,18,modefi,MOD,1616143318,
eip155:56/erc20:0x3a6e8B36645D6c252714dadDD28eC0673535a109,0x3a6e8B36645D6c252714dadDD28eC0673535a109,56,2CrazyToken,2CRZ,18,2crazynft,2CRZ,1624607336,
eip155:56/erc20:0xaDEC335A2e3881303a9b0203eb99DE12202280dF,0xaDEC335A2e3881303a9b0203eb99DE12202280dF,56,Rentible,RNB,18,rentible,RNB,1638335729,
eip155:56/erc20:0x824a50dF33AC1B41Afc52f4194E2e8356C17C3aC,0x824a50dF33AC1B41Afc52f4194E2e8356C17C3aC,56,KickToken,KICK,10,kick,KICK,1638441640,
eip155:56/erc20:0xFfBa7529AC181c2Ee1844548e6D7061c9A597dF4,0xFfBa7529AC181c2Ee1844548e6D7061c9A597dF4,56,Capsule Coin,CAPS,18,coin-capsule,CAPS,1624102103,
eip155:56/erc20:0x09E889BB4D5b474f561db0491C38702F367A4e4d,0x09E889BB4D5b474f561db0491C38702F367A4e4d,56,Clover,CLV,18,clover-finance,CLV,1618230349,
eip155:56/erc20:0xaEC945e04baF28b135Fa7c640f624f8D90F1C3a6,0xaEC945e04baF28b135Fa7c640f624f8D90F1C3a6,56,Coin98,C98,18,coin98,C98,1626321852,
eip155:56/erc20:0x1796ae0b0fa4862485106a0de9b654eFE301D0b2,0x1796ae0b0fa4862485106a0de9b654eFE301D0b2,56,Polkamon,PMON,18,polychain-monsters,PMON,1620912576,
eip155:56/erc20:0xF55a93b613D172b86c2Ba3981a849DaE2aeCDE2f,0xF55a93b613D172b86c2Ba3981a849DaE2aeCDE2f,56,YFX,YFX,18,yfx,YFX,1619080874,
eip155:56/erc20:0x557f20CE25b41640ADe4a3085d42d7e626d7965A,0x557f20CE25b41640ADe4a3085d42d7e626d7965A,56,LandBox,LAND,18,new-landbox,LAND,1620369070,
eip155:56/erc20:0x7dDEE176F665cD201F93eEDE625770E2fD911990,0x7dDEE176F665cD201F93eEDE625770E2fD911990,56,pTokens GALA,GALA,18,gala,GALA,1626083504,
eip155:56/erc20:0xCD40F2670CF58720b694968698A5514e924F742d,0xCD40F2670CF58720b694968698A5514e924F742d,56,OddzToken,ODDZ,18,oddz,ODDZ,1617611446,
eip155:56/erc20:0x5de3939b2F811A61d830E6F52d13B066881412ab,0x5de3939b2F811A61d830E6F52d13B066881412ab,56,Proton,XPR,4,proton,XPR,1624966636,
eip155:56/erc20:0xD85AD783cc94bd04196a13DC042A3054a9B52210,0xD85AD783cc94bd04196a13DC042A3054a9B52210,56,TribeOne,HAKA,18,tribeone,HAKA,1623943146,
eip155:56/erc20:0x0864c156b3C5F69824564dEC60c629aE6401bf2a,0x0864c156b3C5F69824564dEC60c629aE6401bf2a,56,Streamr,DATA,18,streamr,DATA,1631279151,
eip155:56/erc20:0x436C52A8ceE41D5e9c5E6f4Cb146e66D552Fb700,0x436C52A8ceE41D5e9c5E6f4Cb146e66D552Fb700,56,EQIFi Token,EQX,18,eqifi,EQX,1628346582,
eip155:56/erc20:0x846F52020749715F02AEf25b5d1d65e48945649D,0x846F52020749715F02AEf25b5d1d65e48945649D,56,Umbrella,UMB,18,umbrella-network,UMB,1626960431,
eip155:56/erc20:0x686318000d982bc8dCC1cdCF8fFd22322F0960Ed,0x686318000d982bc8dCC1cdCF8fFd22322F0960Ed,56,OpulousToken [via ChainPort.io],OPUL,18,opulous,OPUL,1632368633,
eip155:56/erc20:0xfb5B838b6cfEEdC2873aB27866079AC55363D37E,0xfb5B838b6cfEEdC2873aB27866079AC55363D37E,56,FLOKI,FLOKI,9,floki,FLOKI,1642788204,
eip155:56/erc20:0xeDF3ce4Dd6725650a8e9398e5C6398D061Fa7955,0xeDF3ce4Dd6725650a8e9398e5C6398D061Fa7955,56,vEmpire Gamer Token,VEMP,18,vempire-ddao,VEMP,1636444984,
eip155:56/erc20:0xb5Be8D87FcE6Ce87a24b90AbDB019458A8eC31F9,0xb5Be8D87FcE6Ce87a24b90AbDB019458A8eC31F9,56,OBORTECH,OBOT,18,obortech,OBOT,1651740781,
